Código INE;Municipio;Provincia;Comunidad Autónoma;Bicicletas Fallecidos;Bicicletas Heridos Graves;Bicicletas Heridos Leves;Ciclomotores Fallecidos;Ciclomotores Heridos Graves;Ciclomotores Heridos Leves;Motocicletas Fallecidos;Motocicletas Heridos Graves;Motocicletas Heridos Leves;Turismos Fallecidos;Turismos Heridos Graves;Turismos Heridos Leves;Furgonetas Fallecidos;Furgonetas Heridos Graves;Furgonetas Heridos Leves;Camiones Fallecidos;Camiones Heridos Graves;Camiones Heridos Leves;Autobus Fallecidos;Autobus Heridos Graves;Autobus Heridos Leves;Otros Fallecidos;Otros Heridos Graves;Otros Heridos Leves;Peatones Fallecidos;Peatones Heridos Graves;Peatones Heridos Leves;N Accidentes con Victimas;Fallecidos;Heridos Hospitalizados;Heridos no Hospitalizados;Latitud;Longitud
19034;Anquela del Pedregal;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.74;-1.74
19036;Aranzueque;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;40.49;-3.08
19037;Arbancón;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;40.97;-3.11
19038;Arbeteta;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.67;-2.4
19039;Argecilla;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.88;-2.82
19040;Armallones;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.74;-2.3
19041;Armuña de Tajuña;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.53;-3.03
19042;Arroyo de las Fraguas;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.1;-3.13
19043;Atanzón;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.67;-3
19044;Atienza;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.2;-2.87
19045;Auñón;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.52;-2.79
